TEAM	Span		Mat	Inns NO	Runs	HS		Ave		BF		SR		100	50	0	4s		6s 		Player
ENG		2011-2019	95	81	15	2682	102 	40.63	2855	93.94	3	20	5	217		75 		BA Stokes 
AUS		2012-2016	90	85	10	3044	156		40.58	3645	83.51	3	22	3	222		57 		GJ Bailey 
AUS		2002-2015	190	169	27	5757	185 	40.54	6365	90.44	9	33	12	570		131		SR Watson 
WI		1990-2007	299	289	32	10405	169		40.48	13086	79.51	19	63	16	1035	133  	BC Lara 
ENG		1996-2003	100	100	10	3637	125 	40.41	5085	71.52	5	25	6	327		21 		NV Knight 
AUS		2013-2019	119	115	2	4559	153 	40.34	5093	89.51	15	24	11	453		112		AJ Finch 
PAK		2007-2015	38	36	12	966		114 	40.25	1297	74.47	1	6	3	59		6 		Fawad Alam 
AUS		2018-2019	29	26	6	804		85		40.20	874		91.99	0	4	1	86		5 		AT Carey 
AUS		1971-1983	74	72	14	2331	138 	40.18	3079	75.70	3	14	7	195		7 		GS Chappell 
ENG		1987-1988	34	34	0	1361	106		40.02	2447	55.61	1	11	2	81		3 		BC Broad 
AUS		1986-1992	117	115	6	4357	126 	39.97	7790	55.93	9	22	4	302		22 		GR Marsh 
ENG		1971-1982	24	22	3	757		131		39.84	1134	66.75	1	5	0	64 		6  		KWR Fletcher 
AUS		1998-2009	198	161	33	5088	156		39.75	5504	92.44	6	30	15	449		103		A Symonds 
ENG		2006-2019	233	217	32	7348	148		39.71	8053	91.24	13	46	15	612		211		EJG Morgan 
INDIA	2003-2013	147	143	11	5238	150 	39.68	6144	85.25	11	34	11	561		17 		G Gambhir 
WI		1973-1985	87	69	19	1977	102		39.54	2434	81.22	1	11	1	160 	30 		CH Lloyd 
PAK		1991-2007	378	350	53	11739	137 	39.52	15812	74.24	10	83	20	971		144		Inzamam-ul-Haq 
ENG		1987-1999	75	71	18	2092	113		39.47	2903	72.06	1	16	2	140		20 		NH Fairbrother 
AUS		1988-2002	244	236	20	8500	173		39.35	11053	76.90	18	50	16	651		57 		ME Waugh 
ENG		1982-1992	122	118	16	4010	118		39.31	5308	75.54	4	26	8	328		30 		AJ Lamb 
SL		1999-2016	330	303	41	10290	161 	39.27	11933	86.23	22	47	11	1111	55 		TM Dilshan 
PAK		1989-2003	247	244	19	8824	194		39.21	10938	80.67	20	43	15	938		97 		Saeed Anwar 
HKG		2014-2018	22	22	2	784		89		39.20	999		78.47	0	8	3	70		26 		Babar Hayat 
AUS		1978-1984	30	27	6	823		66 		39.19	1288	63.89	0	7	1	64		3 		GN Yallop 
INDIA	1996-2011	344	318	40	10889	153		39.16	15284	71.24	12	83	13	950		42 		R Dravid 
AUS		1983-1985	28	24	2	861		117		39.13	1319	65.27	2	8	1	67 		0  		SB Smith 
INDIA	2016-2019	23	22	4	704		111		39.11	890		79.10	2	4	2	57		10 		KL Rahul 
ENG		1988-1996	71	70	8	2419	167 	39.01	3473	69.65	4	15	4	239		22 		RA Smith 
AUS		1996-2005	117	101	22	3078	119		38.96	3784	81.34	4	17	4	227		14 		DS Lehmann 
NZ		1995-2001	87	81	11	2717	103		38.81	3603	75.40	1	20	5	240		33 		RG Twose 
SA		2014-2016	36	35	3	1239	132		38.71	1313	94.36	3	7	5	131		22 		RR Rossouw 
SA		2010-2019	126	110	31	3058	139		38.70	3054	100.13	5	12	8	227		83 		DA Miller 
WI		2017-2019	37	34	3	1199	127		38.67	1120	107.05	4	4	1	90		42 		SO Hetmyer 
SA		1992-2000	188	175	31	5565	112		38.64	7277	76.47	2	39	8	366		94 		WJ Cronje 
NZ		1982-1995	143	140	18	4704	107 	38.55	6476	72.63	4	34	3	378		29 		MD Crowe 
SA		1991-1994	40	40	6	1293	97		38.02	2308	56.02	0	9	0	90		8 		PN Kirsten 
ENG		2006-2018	78	77	8	2622	160 	38.00	3630	72.23	6	15	5	255		25 		EC Joyce 
